player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,39:31,是,8-15,3-8,11-11,0,9,6,3,6,1,0,1,16,2/2,36,山西,2016-11-30
任骏威,21,20:17,是,2-2,2-6,0-0,0,1,3,3,0,0,1,0,0,0/0,10,山西,2016-11-30
张学文,33,21:54,是,3-4,0-2,2-2,1,1,2,3,1,0,0,0,2,1/1,8,山西,2016-11-30
原帅,7,18:59,是,1-1,2-4,0-0,0,0,0,3,0,0,0,0,0,1/1,8,山西,2016-11-30
侯兴宇,5,10:53,是,1-2,0-0,0-0,1,1,1,2,0,2,0,0,0,0/0,2,山西,2016-11-30
戴勒姆波特,1,27:22,否,11-12,0-2,3-3,4,8,2,2,0,2,0,3,2,1/1,25,山西,2016-11-30
闫鹏飞,9,28:25,否,5-12,0-0,3-6,1,5,1,1,1,0,0,0,3,0/2,13,山西,2016-11-30
罗智,10,25:56,否,2-2,1-2,2-2,0,0,2,1,0,0,0,0,1,1/1,9,山西,2016-11-30
曾令旭,6,24:53,否,0-1,1-4,4-4,1,4,6,1,0,0,0,0,1,0/0,7,山西,2016-11-30
田桂森,3,04:20,否,0-0,0-0,3-4,0,0,1,1,0,0,0,0,2,0/0,3,山西,2016-11-30
王磊,8,07:40,否,1-1,0-0,0-0,0,0,2,0,0,0,0,0,0,0/0,2,山西,2016-11-30
邢志强,12,09:50,否,1-2,0-2,0-0,1,1,0,0,1,1,0,0,0,0/0,2,山西,2016-11-30
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,山西,2016-11-30
科迪-拉兰,25,32:40,是,7-11,0-4,6-8,7,7,1,2,0,1,1,2,8,0/0,20,浙江,2016-11-30
吴前,33,30:35,是,4-8,3-7,2-2,0,2,3,4,1,0,0,0,3,1/1,19,浙江,2016-11-30
张大宇,24,21:36,是,4-9,1-1,3-4,0,3,1,1,0,0,0,0,3,0/0,14,浙江,2016-11-30
夏钰博,15,38:31,是,4-9,2-3,0-0,1,1,8,3,2,1,0,0,1,0/0,14,浙江,2016-11-30
陆文博,8,36:50,是,2-2,1-5,0-0,2,3,1,5,0,4,0,0,2,0/0,7,浙江,2016-11-30
赖俊豪,17,19:57,否,3-5,1-3,0-0,2,5,1,4,0,1,0,0,1,0/0,9,浙江,2016-11-30
刘丰博,2,19:18,否,1-4,2-3,0-0,1,1,1,1,1,0,0,0,0,1/1,8,浙江,2016-11-30
张永鹏,76,22:02,否,4-9,0-0,0-0,0,4,1,2,0,0,0,0,0,0/0,8,浙江,2016-11-30
邓愈鑫,13,17:25,否,2-4,0-4,1-1,2,1,4,5,0,1,0,0,2,0/0,5,浙江,2016-11-30
卢艺文,11,01:06,否,0-0,0-0,0-0,0,0,1,0,0,1,0,0,0,0/0,0,浙江,2016-11-30
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,浙江,2016-11-30
