player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
杰里米-帕戈,2,40:22,是,7-12,2-7,5-10,2,7,9,3,3,1,0,0,8,1/1,25,深圳,2016-10-30
顾全,12,32:50,是,4-10,2-5,6-6,2,2,1,2,0,1,1,0,5,0/0,20,深圳,2016-10-30
李慕豪,21,30:07,是,7-10,0-0,4-8,2,4,3,3,0,0,0,2,4,0/0,18,深圳,2016-10-30
孟铎,3,26:05,是,2-5,0-1,3-4,0,2,1,2,4,0,0,0,3,1/1,7,深圳,2016-10-30
张凯,7,12:13,是,2-3,0-0,0-0,1,3,0,1,1,0,0,1,0,0/0,4,深圳,2016-10-30
马齐-兰佩,30,31:31,否,7-12,1-5,3-6,4,12,1,0,2,3,0,0,7,0/0,20,深圳,2016-10-30
赵捷,24,21:48,否,1-2,3-5,0-0,0,1,0,2,0,3,0,0,0,0/0,11,深圳,2016-10-30
代怀博,22,14:52,否,1-2,0-1,0-0,0,2,0,2,0,0,0,0,0,0/0,2,深圳,2016-10-30
何忠勉,20,11:49,否,1-1,0-1,0-0,0,1,0,2,0,0,1,0,0,0/0,2,深圳,2016-10-30
于德豪,8,07:31,否,0-0,0-0,1-2,0,0,1,3,0,0,0,0,2,0/0,1,深圳,2016-10-30
邱彪,13,10:17,否,0-1,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,深圳,2016-10-30
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,深圳,2016-10-30
莱恩,1,42:01,是,5-9,9-17,2-4,0,5,3,4,1,4,0,0,7,0/0,39,广州,2016-10-30
巴赫拉米,14,44:55,是,9-15,0-3,3-4,1,5,2,5,1,3,0,0,3,1/1,21,广州,2016-10-30
鞠明欣,8,40:10,是,4-9,1-3,4-4,1,6,2,5,1,3,0,0,3,0/0,15,广州,2016-10-30
郑准,50,25:03,是,3-5,1-1,4-4,3,3,0,4,0,0,1,0,2,0/0,13,广州,2016-10-30
范子铭,13,08:45,是,0-2,0-0,2-2,0,1,0,0,0,0,0,0,1,0/0,2,广州,2016-10-30
库克,53,27:29,否,4-12,0-2,2-2,3,6,0,4,0,1,0,3,2,0/0,10,广州,2016-10-30
朱旭航,10,34:29,否,2-5,0-2,2-2,3,7,0,5,1,3,2,0,2,0/0,6,广州,2016-10-30
刘子豪,25,05:33,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,广州,2016-10-30
史鸿飞,4,09:09,否,0-0,0-0,0-0,0,2,0,0,0,1,0,0,1,0/0,0,广州,2016-10-30
李学林,9,01:51,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,广州,2016-10-30
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,1,0,0,0,0/0,0,广州,2016-10-30
